GICS Econ Sect (Descr),GICS Ind Group (Descr),GICS Industry (Descr),Company Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",BJ'S RESTAURANTS INC,1.217,7.498,20.15,-23.541,-1.133,4.378,43.614,-40.141,-2.765,36.054,-13.388,-9.127,-7.317,7.921,7.688
Consumer Discretionary,Consumer Durables & Apparel,Household Durables,BLACK & DECKER CORP,-12.3,109.5,272.6,-208.9,206.2,453.2,-734.3,21.4,23.1,805.4,,,,,
Consumer Discretionary,Consumer Services,Diversified Consumer Services,BLOCK H & R INC,-108.088,248.529,439.208,196.323,27.468,-405.855,248.011,-194.993,989.766,149.382,-126.201,266.49,-196.75,437.723,
Consumer Discretionary,Retailing,Internet & Catalog Retail,BLUE NILE INC,,,6.299,7.786,29.116,12.422,6.619,44.253,-68.342,23.698,35.112,-23.87,-2.374,28.925,-24.756
Consumer Discretionary,Retailing,Internet & Catalog Retail,BLUEFLY INC,-2.584,0.069,-3.67,5.972,-1.036,2.723,10.78,-13.458,-2.726,6.045,0.38,-6.016,-3.13,,
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",BLUEGREEN CORP,-25.51,8.699,-1.81,26.126,44.891,-15.861,-13.556,73.825,-63.198,12.624,1.594,8.846,72.731,,
Consumer Discretionary,Consumer Durables & Apparel,Household Durables,BLYTH INC,46.989,37.597,33.239,61.13,-138.031,150.373,-138.26,59.213,-16.597,60.97,-1.646,-2.745,-71.515,-14.209,-12.604
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",BOB EVANS FARMS,-4.993,6.147,1.132,-5.08,1.281,11.46,12.56,-21.618,5.937,-12.33,40.195,-21.784,-26.936,-1.184,
Consumer Discretionary,Retailing,Multiline Retail,BON-TON STORES INC,3.26,-4.315,7.044,3.094,5.332,-13.137,14.962,-3.495,-1.519,-0.797,-2.583,-2.067,-6.346,-0.868,
Consumer Discretionary,Retailing,Specialty Retail,BOOKS-A-MILLION INC,0.362,0.257,-0.235,0.371,11.211,20.96,-3.398,-28.526,-0.066,1.073,1.211,2.3,-5.125,4.938,
Consumer Discretionary,Retailing,Specialty Retail,BORDERS GROUP INC,17.5,131.1,78.9,109.7,-16,-163.2,38.8,-47.6,-4.9,-16.6,6.8,,,,
Consumer Discretionary,Automobiles & Components,Auto Components,BORGWARNER INC,-0.3,11.5,3.7,76.5,116.6,-140,33.6,65.2,-85.1,254,92.5,-90.3,356.1,223.8,-141.7
Consumer Discretionary,Retailing,Distributors,BOSS HOLDINGS INC,-1.939,-0.019,2.835,-0.395,-3.423,-1.056,1.002,1.555,-1.754,6.247,-2.739,-1.167,1.114,2.056,
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",BOWL AMERICA INC  -CL A,-0.034,-0.185,0.295,-0.131,-0.183,0.387,-0.651,0.491,0.582,1.33,-0.88,-0.218,-0.03,1.106,-2.596
Consumer Discretionary,Retailing,Specialty Retail,BOWLIN TRAVEL CENTERS INC,,-1.372,-0.255,-0.177,-0.196,0.572,0.414,-0.409,0.011,0.014,0.467,-0.83,0.305,0.187,
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",BOYD GAMING CORP,1.867,0.508,114.265,-103.167,72.51,27.683,-19.009,-3.696,-67.549,-4.95,52.421,33.133,14.072,-14.99,-32.497
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",BRAZIL FAST FOOD CORP,0.36,0.177,-0.228,-0.137,0.246,0.311,0.64,1.987,1.329,1.622,2.1,2.478,5.228,7.633,
Consumer Discretionary,Consumer Services,Diversified Consumer Services,BRIDGEPOINT EDUCATION INC,,,,,,,,7.297,49.132,69.079,62.956,-54.597,122.044,3.555,-5.523
Consumer Discretionary,Consumer Services,Diversified Consumer Services,BRIGHT HORIZONS FAMILY SOLTN,-4.153,4.171,15.423,5.706,8.573,-20.822,-14.535,1.839,,,1.078,15.01,3.661,-4.524,58.301
Consumer Discretionary,Automobiles & Components,Automobiles,BRILLIANCE CHINA AUTO  -ADR,-4.112,-14.234,8.324,65.624,-71.02,-49.701,80.044,-12.977,,,,,,,
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",BRINKER INTL INC,-0.254,0.969,-3.221,23.401,193.27,-5.184,13.756,29.786,-30.109,39.442,250.468,-262.636,-22.885,0.264,-1.682
