Industry,Company,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Media,CUMULUS MEDIA INC,0.43,0.311,0.299,0.332,0.31,0.33,0.298,0.405,0.564,0.694,1.281,1.896,1.849,0.705,0.722,0.679
Media,DEX MEDIA INC,1.215,1.125,0.963,0.969,0.94,0.824,0.786,0.796,0.644,0.632,0.81,0.79,0.61,0.725,0.709,1.086
Media,DIRECTV,0.07,0.115,0.068,0.138,0.174,0.23,0.17,0.222,0.242,0.228,0.385,0.471,0.619,0.731,0.878,0.919
Media,DISH NETWORK CORP,0.836,0.783,0.865,0.878,0.918,0.915,0.962,0.801,0.713,0.607,0.775,0.783,0.676,0.653,0.684,0.67
Media,DISNEY (WALT) CO,0.282,0.268,0.21,0.224,0.289,0.269,0.257,0.242,0.23,0.254,0.238,0.205,0.184,0.198,0.195,0.179
Media,EMMIS COMMUNICATIONS CP-CL A,0.588,0.241,0.558,0.595,0.578,0.554,0.651,0.527,0.416,0.388,0.571,0.685,0.701,0.698,0.549,0.48
Media,ENTERCOM COMMUNICATIONS CORP,0.614,0.423,0.398,0.357,0.358,0.25,0.29,0.34,0.39,0.507,0.836,0.801,0.736,0.669,0.636,0.567
Media,ENTRAVISION COMMUNICATIONS,0.761,0.817,0.164,0.165,0.194,0.224,0.286,0.291,0.351,0.354,0.688,0.746,0.807,0.812,0.778,0.676
Media,EW SCRIPPS  -CL A,0.328,0.305,0.278,0.274,0.253,0.169,0.156,0.205,0.176,0.126,0.056,0.046,0.001,0.218,0.19,0.207
Media,GRAY TELEVISION INC,0.577,0.58,0.589,0.694,0.508,0.495,0.478,0.52,0.523,0.569,0.626,0.636,0.665,0.674,0.666,0.632
Media,GRUPO TELEVISA SAB  -ADR,0.22,0.217,0.249,0.273,0.258,0.231,0.32,0.264,0.241,0.264,0.328,0.354,0.356,0.37,0.351,0.335
Media,HONG KONG TELE NETWORK  -ADR,0.047,0.106,0.064,0.049,0.034,0.012,0.071,0.413,0.447,0.441,0.329,0.091,0.06,0.001,0.001,0.139
Media,IMAX CORP,0.612,0.557,0.61,0.878,0.861,0.756,0.693,0.657,0.704,0.769,0.787,0.202,0.05,0.136,0.026,0
Media,INTERPUBLIC GROUP OF COS,0.104,0.129,0.195,0.255,0.224,0.202,0.184,0.188,0.197,0.189,0.175,0.159,0.133,0.137,0.182,0.129
Media,LAMAR ADVERTISING CO  -CL A,0.62,0.504,0.478,0.494,0.513,0.465,0.45,0.422,0.507,0.67,0.689,0.678,0.66,0.63,0.615,0.57
Media,LEE ENTERPRISES INC,0.332,0.301,0.299,0.173,0.28,0.215,0.152,0.498,0.464,0.432,0.663,0.772,0.752,0.859,0.873,1.008
Media,LIONS GATE ENTERTAINMENT CP,0.311,0.24,0.42,0.564,0.532,0.553,0.633,0.636,0.584,0.645,0.757,0.711,0.665,0.753,0.665,0.577
Media,MCCLATCHY CO  -CL A,0.447,0.407,0.36,0.303,0.25,0.185,0.13,0.074,0.407,0.597,0.579,0.574,0.543,0.519,0.556,0.581
Media,MDC PARTNERS INC,0.537,0.555,0.513,0.588,0.416,0.348,0.136,0.25,0.193,0.316,0.343,0.361,0.313,0.365,0.321,0.467
Media,MEREDITH CORP,0.202,0.372,0.351,0.327,0.264,0.261,0.205,0.168,0.277,0.227,0.235,0.228,0.174,0.114,0.188,0.164
Media,NEW YORK TIMES CO  -CL A,0.209,0.201,0.258,0.221,0.264,0.251,0.268,0.308,0.375,0.298,0.311,0.249,0.303,0.268,0.248,0.266
Media,NTN BUZZTIME INC,0.035,0.497,0.464,0.352,0.435,0.067,0.03,0.05,0.014,0,0.003,0.033,0.037,0.039,0.013,0.108
Media,OMNICOM GROUP,0.118,0.093,0.136,0.146,0.172,0.179,0.162,0.149,0.169,0.16,0.18,0.128,0.165,0.158,0.204,0.185
Media,PEARSON PLC  -ADR,0.497,0.437,0.322,0.347,0.29,0.301,0.305,0.258,0.237,0.219,0.237,0.212,0.216,0.181,0.199,0.202
Media,PUBLICIS GROUPE SA  -ADR,0.104,0.11,0.218,0.218,0.252,0.338,0.251,0.182,0.182,0.171,0.13,0.158,0.139,0.14,0.067,0.05
Media,QUEBECOR INC  -CL B,0.346,0.428,0.397,0.427,0.438,0.431,0.398,0.384,0.421,0.515,0.554,0.465,0.412,0.421,0.518,0.576
Media,READING INTL INC  -CL A,0.263,0.233,0.24,0.248,0.275,0.319,0.362,0.432,0.45,0.512,0.643,0.559,0.532,0.487,0.459,0.436
Media,REED ELSEVIER NV  -ADR,0.007,0.005,0.002,0.002,0.003,0.004,0.004,0.005,0.005,0.004,0.018,0.01,0.009,0.007,0.005,0.004
Media,SAGA COMMUNICATIONS  -CL A,0.545,0.528,0.526,0.52,0.465,0.462,0.432,0.467,0.415,0.385,0.611,0.598,0.481,0.363,0.298,0.238
Media,SALEM COMMUNICATIONS CORP,0.86,0.391,0.608,0.616,0.671,0.6,0.482,0.507,0.526,0.521,0.535,0.542,0.53,0.49,0.481,0.506
Media,SHAW COMMUNICATIONS INC-CL B,0.416,0.386,0.339,0.343,0.408,0.384,0.351,0.37,0.401,0.376,0.33,0.352,0.392,0.42,0.414,0.382
Media,SINCLAIR BROADCAST GP  -CL A,0.656,0.55,0.534,0.56,0.672,0.676,0.665,0.635,0.622,0.604,0.757,0.855,0.816,0.767,0.833,0.732
